四川电信,#genre#
四川科教,http://xeace.cn:8888/udp/239.93.42.44:5140
四川乡村,http://xeace.cn:8888/udp/239.93.0.52:5140
四川妇女儿童,http://xeace.cn:8888/udp/239.93.0.219:5140
峨眉电影,http://xeace.cn:8888/udp/239.93.0.252:5140
睛彩四川,http://xeace.cn:8888/udp/239.93.0.126:5140
成都综合,http://xeace.cn:8888/udp/239.93.0.16:5140
成都经济,http://xeace.cn:8888/udp/239.93.0.17:1239
成都生活,http://xeace.cn:8888/udp/239.93.0.18:1238
成都影视,http://xeace.cn:8888/udp/239.93.0.19:1250
成都公共,http://xeace.cn:8888/udp/239.93.1.231:5140
成都少儿,http://xeace.cn:8888/udp/239.93.0.21:1251
蓉城先锋,http://xeace.cn:8888/udp/239.93.0.91:2101
i成都,http://xeace.cn:8888/udp/239.93.1.104:1234
大爱旅游,http://xeace.cn:8888/udp/239.93.42.70:5140
大爱生活,http://xeace.cn:8888/udp/239.93.42.71:5140
大爱时尚,http://xeace.cn:8888/udp/239.93.42.72:5140
大爱四川,http://xeace.cn:8888/udp/239.93.1.110:5140
湖南电信,#genre#
CCTV1,http://113.223.213.26:9000/udp/239.76.253.151:9000
CCTV2,http://113.223.213.26:9000/udp/239.76.246.152:1234
CCTV3,http://113.223.213.26:9000/udp/239.76.246.153:1234
CCTV4,http://113.223.213.26:9000/udp/239.76.245.195:1234
CCTV5,http://113.223.213.26:9000/udp/239.76.246.155:1234
CCTV6,http://113.223.213.26:9000/udp/239.76.246.156:1234
CCTV7,http://113.223.213.26:9000/udp/239.76.246.157:1234
CCTV8,http://113.223.213.26:9000/udp/239.76.246.158:1234
CCTV9,http://113.223.213.26:9000/udp/239.76.246.159:1234
CCTV10,http://113.223.213.26:9000/udp/239.76.246.160:1234
CCTV11,http://113.223.213.26:9000/udp/239.76.245.251:1234
CCTV12,http://113.223.213.26:9000/udp/239.76.253.162:9000
CCTV13,http://113.223.213.26:9000/udp/239.76.246.93:1234
CCTV14,http://113.223.213.26:9000/udp/239.76.246.164:1234
CCTV15,http://113.223.213.26:9000/udp/239.76.245.252:1234
CCTV16,http://113.223.213.26:9000/udp/239.76.246.98:1234
CCTV17,http://113.223.213.26:9000/udp/239.76.245.238:1234
CCTV5+,http://113.223.213.26:9000/udp/239.76.246.168:1234
CCTV4K,http://113.223.213.26:9000/udp/239.76.246.214:1234
CCTV16-4K,http://113.223.213.26:9000/udp/239.76.246.230:1234
CCTV电视指南,http://113.223.213.26:9000/udp/239.76.254.61:9000
CCTV兵器科技,http://113.223.213.26:9000/udp/239.76.254.59:9000
CCTV第一剧场,http://113.223.213.26:9000/udp/239.76.254.49:9000
CCTV风云剧场,http://113.223.213.26:9000/udp/239.76.254.50:9000
CCTV风云音乐,http://113.223.213.26:9000/udp/239.76.254.51:9000
CCTV风云足球,http://113.223.213.26:9000/udp/239.76.254.52:9000
CCTV怀旧剧场,http://113.223.213.26:9000/udp/239.76.254.53:9000
CCTV女性时尚,http://113.223.213.26:9000/udp/239.76.254.55:9000
